FCN,Offense,Analyst,Sufficiency,Anatomical source,AFIS system,AFIS Result,Verified by
FCN: 010521499,Capital Murder By Firearms,Stacie,AQ,FP,NGI,Reverse,
FCN: 018226009,ROB - Robbery,Vickie,AQ,FP,NGI,Reverse,
FCN: 030193201,HOM - Homicide,Brenda,AQ,FP,NGI,Reverse,
FCN: 033994909,ROB - Robbery,David,AQ,FP,NGI,Reverse,
FCN: 043314309,ROB - Robbery,Brenda,AQ,FP,NGI,Reverse,
,,,AQ,FP,NGI,Reverse,
FCN: 045721203,ROB - Robbery,David,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,,,NEC,No Hit,
,,,,,NGI,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,,,NEC,No Hit,
,,,,,NGI,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,,,NEC,No Hit,
,,,,,NGI,No Hit,
,,,AQ,PP,MorphoTrack,No Hit,
,,,,,NEC,No Hit,
,,,,,NGI,No Hit,
FCN: 062471808,ROB - Robbery,Vickie,AQ,FP,NGI,Reverse,
FCN: 064099808,ROB - Robbery,Maranda,AQ,FP,NGI,Reverse,
FCN: 065916208,ROB - Robbery,Gail,AQ,FP,NGI,Reverse,
,,David,AQ,FP,NGI,Reverse,
FCN: 073653408,Disorderly Conduct,Gail,AQ,FP,NGI,Reverse,
,,,AQ,FP,NGI,Reverse,
FCN: 075320906,Robbery Highway By Firearms,Gail,AQ,FP,NGI,Reverse,
FCN: 078020306,HOM - Homicide,Brenda,AQ,FP,NGI,Reverse,
,,Brenda,NV,,,,darren
,,,NV,,,,
,,,NV,,,,
,,,AQ,PP,MorphoTrack,No Hit,
,,,,,NEC,No Hit,
,,,,,NGI,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,,,NEC,No Hit,
,,,,,NGI,No Hit,
,,,AQ,PP,MorphoTrack,No Hit,
,,,,,NEC,No Hit,
,,,,,NGI,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,,,NEC,No Hit,
,,,,,NGI,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,,,NEC,No Hit,
,,,,,NGI,PAA,
,,,NV,,,,
,,,AQ,FP,,,
,,,AQ,PP,MorphoTrack,PAA,
,,,AQ,FP,,,
